,Unnamed: 0,latitud,longitud,titulo,tipo_propiedad,precio,moneda,m2,ambientes
279,279,-34.59469,-58.394035,Alquiler Temporario En Recoleta,Apartamento,40000.0,COP,37.0,1.0
280,280,-34.575665,-58.419605,Departamento Alquiler Temporario En  Palermo,Apartamento,40000.0,COP,40.0,1.0
281,281,-34.589546,-58.39736,Alquiler Temporario En Barrio Norte,Apartamento,25000.0,COP,25.0,1.0
282,282,-34.621834,-58.371395,Alquiler Temporario En San Telmo,Apartamento,37000.0,COP,42.0,2.0
283,283,-34.588448,-58.40738,Alquiler Temporal En Palermo,Apartamento,43000.0,COP,60.0,2.0
284,284,-34.58379,-58.446114,Departamento En Alquiler Temporario En Palermo,Apartamento,47000.0,COP,65.0,3.0
285,285,-34.57222,-58.43149,Alquilo Departamento En Duplex 3 Ambientes Todo Amueblado!,Apartamento,115000.0,COP,85.0,3.0
286,286,-34.553062,-58.460636,Dueño Alquila Monoambiente 1er . Belgrano,Apartamento,1250.0,COP,40.0,1.0
287,287,-34.60085,-58.430084,Departamento 2 Ambientes Luminoso Cerca Del Subte Con Lav,Local,80000.0,USD,35.0,
288,288,-34.649803,-58.500317,Departamento En Alquiler 2 Ambientes. Alberdi Al 5600.,Apartamento,19000.0,COP,45.0,2.0
289,289,-34.543167,-58.46253,Dpto Alquiler Amueblado Nuñez 2 Dorm 2 Bños Excelente Estado,Apartamento,69000.0,COP,120.0,3.0
290,290,-34.556145,-58.47158,"Loft Con Bañera Hidromasaje, Y Balcon Con Parrila",Apartamento,3490.0,COP,60.0,1.0
291,291,-34.597256,-58.373493,Clasico Y Moderno Piso En Retiro,Apartamento,550.0,USD,56.0,3.0
292,292,-34.620216,-58.365,Amplio Dos Ambientes En Puerto Madero,Apartamento,70000.0,COP,50.0,2.0
293,293,-34.597977,-58.375736,Departamento 2 Ambientes En La Calle Florida,Apartamento,22000.0,COP,32.0,2.0
294,294,-34.594334,-58.397934,Alquiler 3 Dorm Dep Y Cochera En Arenales Recoleta 2596id,Apartamento,65000.0,COP,156.0,4.0
